numChars,numWords,avgWordLen,hasPunctuation,capsRatio,totalEntities,hasHashtags,totalHashtags,hasURLs,totalURLs,hasUserMentions,totalUserMentions,wasRetweeted,isRetweet,numPunctuation,numDigits,gender
105,24,4,True,0.361904761905,1,False,0,True,1,False,0,False,True,13,9,F
85,22,3,True,0.141176470588,6,True,4,True,1,True,1,False,True,14,2,F
89,15,5,True,0.191011235955,2,False,0,False,0,True,2,False,False,6,0,M
14,5,2,False,0.0714285714286,0,False,0,False,0,False,0,False,True,0,0,F
49,10,4,True,0.224489795918,1,False,0,True,1,False,0,False,True,6,11,F
64,14,4,True,0.0,0,False,0,False,0,False,0,False,True,4,0,F
103,24,4,True,0.0970873786408,1,False,0,True,1,False,0,False,True,14,2,F
58,11,5,True,0.0172413793103,2,False,0,False,0,True,2,False,False,8,0,F
79,14,5,True,0.151898734177,1,False,0,True,1,False,0,False,True,5,1,M
15,3,5,False,0.0666666666667,0,False,0,False,0,False,0,False,True,0,0,M
57,18,3,True,0.0701754385965,0,False,0,False,0,False,0,False,True,7,0,M
55,13,4,True,0.0,1,True,1,False,0,False,0,False,True,7,0,F
38,9,4,True,0.0263157894737,0,False,0,False,0,False,0,False,True,1,0,F
97,25,3,True,0.20618556701,1,False,0,True,1,False,0,False,True,18,3,F
7,2,3,True,0.142857142857,0,False,0,False,0,False,0,False,True,8,0,M
27,6,4,True,0.148148148148,2,False,0,True,1,True,1,False,False,7,1,F
109,23,4,True,0.201834862385,1,False,0,True,1,False,0,False,True,6,2,F
54,13,4,True,0.0,1,False,0,False,0,True,1,False,False,1,2,F
70,17,4,True,0.428571428571,3,False,0,True,2,True,1,False,True,18,13,F
55,20,2,True,0.145454545455,1,False,0,False,0,True,1,False,True,7,0,M
35,9,3,True,0.171428571429,1,False,0,False,0,True,1,False,True,9,0,F
30,7,4,True,0.133333333333,1,False,0,False,0,True,1,False,True,4,2,M
104,23,4,True,0.211538461538,6,True,1,False,0,True,5,False,True,15,7,M
62,12,5,True,0.241935483871,3,False,0,True,1,True,2,True,True,10,5,F
8,2,4,False,0.125,0,False,0,False,0,False,0,False,True,0,0,M
27,5,5,True,0.222222222222,2,False,0,True,1,True,1,False,False,6,1,F
36,10,3,True,0.111111111111,1,False,0,True,1,False,0,False,True,8,1,F
76,14,5,True,0.171052631579,1,False,0,True,1,False,0,False,True,6,1,F
10,1,10,True,0.2,1,False,0,False,0,True,1,False,False,7,0,M
113,22,5,True,0.0619469026549,0,False,0,False,0,False,0,False,True,5,0,F
21,6,3,True,0.0,0,False,0,False,0,False,0,False,True,1,0,F
31,8,3,False,0.0322580645161,0,False,0,False,0,False,0,False,True,0,0,F
65,13,5,True,0.0461538461538,1,False,0,False,0,True,1,False,False,3,0,M
90,21,4,True,0.0333333333333,1,False,0,False,0,True,1,False,True,6,2,M
46,10,4,True,0.0434782608696,1,False,0,False,0,True,1,False,False,4,0,M
44,8,5,True,0.113636363636,2,False,0,False,0,True,2,False,False,7,0,F
65,15,4,True,0.0615384615385,1,False,0,False,0,True,1,False,False,3,0,F
98,16,6,True,0.030612244898,0,False,0,False,0,False,0,False,True,9,1,M
57,13,4,True,0.210526315789,4,True,3,True,1,False,0,False,True,8,0,F
39,10,3,True,0.0512820512821,0,False,0,False,0,False,0,False,True,4,0,F
55,12,4,True,0.0727272727273,1,True,1,False,0,False,0,False,True,5,0,F
28,5,5,True,0.0,2,False,0,True,1,True,1,False,False,6,5,M
52,13,4,True,0.115384615385,2,False,0,True,1,True,1,False,True,8,1,M
15,6,2,True,0.0666666666667,0,False,0,False,0,False,0,False,True,3,0,F
63,15,4,True,0.222222222222,1,False,0,True,1,False,0,False,True,8,3,F
52,19,2,True,0.0384615384615,0,False,0,False,0,False,0,False,True,9,0,F
36,8,4,True,0.0833333333333,1,False,0,False,0,True,1,False,False,2,0,F
28,5,5,True,0.0714285714286,2,False,0,True,1,True,1,False,False,6,3,F
96,24,4,True,0.0833333333333,1,False,0,True,1,False,0,False,True,10,1,F
14,5,2,True,0.142857142857,1,False,0,False,0,True,1,False,False,4,3,F
68,16,4,True,0.0588235294118,0,False,0,False,0,False,0,False,True,3,0,M
32,8,4,True,0.125,1,False,0,False,0,True,1,False,False,4,0,F
31,8,3,True,0.161290322581,1,False,0,True,1,False,0,False,True,5,1,M
18,4,4,False,0.0555555555556,0,False,0,False,0,False,0,False,True,0,0,F
23,5,4,True,0.260869565217,2,False,0,True,1,True,1,False,False,6,0,F
11,3,3,True,0.0909090909091,0,False,0,False,0,False,0,False,True,2,0,F
33,8,4,True,0.151515151515,2,False,0,True,1,True,1,False,True,11,4,M
108,27,4,True,0.0462962962963,1,True,1,False,0,False,0,False,True,3,4,M
111,19,5,True,0.126126126126,2,False,0,True,1,True,1,False,False,14,6,M
48,11,4,True,0.0208333333333,0,False,0,False,0,False,0,False,True,6,0,F
90,21,4,True,0.0222222222222,0,False,0,False,0,False,0,False,True,9,1,F
65,15,4,True,0.0307692307692,3,False,0,False,0,True,3,False,False,8,6,F
19,3,6,True,0.0526315789474,0,False,0,False,0,False,0,False,True,1,0,M
66,16,4,True,0.030303030303,1,False,0,False,0,True,1,False,False,4,2,F
34,5,6,True,0.0588235294118,1,False,0,False,0,True,1,False,False,1,2,F
50,13,3,True,0.0,0,False,0,False,0,False,0,False,True,3,0,M
58,14,4,True,0.051724137931,1,False,0,False,0,True,1,False,True,5,2,M
40,5,8,True,0.15,2,False,0,False,0,True,2,False,True,3,2,M
45,10,4,True,0.0888888888889,1,False,0,False,0,True,1,True,True,5,0,M
60,19,3,True,0.1,1,False,0,False,0,True,1,False,True,9,0,F
62,16,3,True,0.0806451612903,1,False,0,True,1,False,0,False,True,9,1,F
72,14,5,True,0.166666666667,1,False,0,True,1,False,0,False,True,11,4,F
33,9,3,True,0.0606060606061,0,False,0,False,0,False,0,False,True,4,0,F
92,25,3,True,0.20652173913,3,True,1,True,1,True,1,False,True,15,3,F
17,5,3,False,0.0588235294118,0,False,0,False,0,False,0,False,True,0,0,F
13,2,6,True,0.153846153846,0,False,0,False,0,False,0,False,True,4,0,F
40,11,3,True,0.025,0,False,0,False,0,False,0,False,True,1,0,M
29,6,4,True,0.206896551724,1,False,0,False,0,True,1,False,False,2,0,F
95,19,5,True,0.0947368421053,2,False,0,False,0,True,2,False,False,5,0,F
41,5,8,True,0.0243902439024,3,True,3,False,0,False,0,False,True,3,0,M
37,5,7,True,0.0810810810811,1,False,0,False,0,True,1,False,True,2,0,F
68,19,3,True,0.0441176470588,1,True,1,False,0,False,0,False,True,6,0,F
25,5,5,True,0.56,2,False,0,True,1,True,1,False,False,6,1,F
47,15,3,True,0.0425531914894,0,False,0,False,0,False,0,False,True,4,0,F
65,15,4,True,0.0461538461538,1,False,0,False,0,True,1,False,False,5,3,F
31,7,4,False,0.0967741935484,0,False,0,False,0,False,0,False,True,0,0,M
113,28,4,True,0.132743362832,2,False,0,False,0,True,2,False,False,14,0,F
14,4,3,True,0.142857142857,1,True,1,False,0,False,0,False,True,1,0,F
21,3,7,True,0.142857142857,1,False,0,False,0,True,1,False,False,2,0,F
77,15,5,True,0.168831168831,1,False,0,True,1,False,0,False,True,8,4,M
107,23,4,True,0.130841121495,1,False,0,True,1,False,0,False,True,11,1,F
102,24,4,True,0.0490196078431,2,True,1,False,0,True,1,False,True,7,0,F
75,14,5,True,0.133333333333,4,False,0,True,1,True,3,False,True,17,2,F
80,18,4,True,0.175,2,False,0,True,2,False,0,False,True,12,8,F
109,22,4,True,0.146788990826,2,False,0,True,2,False,0,False,True,13,2,F
12,3,4,False,0.0,0,False,0,False,0,False,0,False,True,0,0,M
24,5,4,True,0.0833333333333,1,False,0,False,0,True,1,False,False,2,0,F
117,20,5,True,0.0854700854701,3,True,2,False,0,True,1,False,False,4,0,F
55,14,3,True,0.236363636364,1,False,0,False,0,True,1,False,True,5,0,F
28,6,4,True,0.107142857143,2,True,1,False,0,True,1,False,True,10,4,M
32,7,4,True,0.09375,1,False,0,False,0,True,1,False,False,5,0,F
113,28,4,True,0.106194690265,2,False,0,False,0,True,2,False,False,14,1,F
96,24,4,True,0.114583333333,2,False,0,False,0,True,2,False,False,10,2,M
49,12,4,True,0.0612244897959,1,False,0,False,0,True,1,False,False,6,0,F
84,18,4,True,0.0595238095238,1,False,0,False,0,True,1,False,False,11,0,F
113,24,4,True,0.0884955752212,0,False,0,False,0,False,0,False,True,3,0,M
64,14,4,True,1.0,2,True,2,False,0,False,0,False,True,3,0,F
51,12,4,True,0.117647058824,1,False,0,False,0,True,1,True,True,4,0,F
46,9,5,True,0.173913043478,2,True,1,False,0,True,1,True,True,4,4,M
47,13,3,True,0.106382978723,1,False,0,False,0,True,1,True,True,4,0,F
108,22,4,True,0.12037037037,1,False,0,True,1,False,0,False,True,13,2,F
25,5,5,True,0.2,2,False,0,True,1,True,1,False,True,6,3,F
111,15,7,True,0.252252252252,6,True,1,False,0,True,5,False,True,15,8,M
51,6,8,True,0.078431372549,3,True,1,False,0,True,2,False,True,6,1,F
88,27,3,True,0.0795454545455,0,False,0,False,0,False,0,False,True,10,3,F
9,4,2,True,0.111111111111,1,True,1,False,0,False,0,False,True,1,0,F
109,31,3,True,0.0183486238532,2,False,0,False,0,True,2,False,True,13,4,F
38,10,3,True,0.0526315789474,1,False,0,False,0,True,1,False,False,6,2,F
32,7,4,True,0.09375,1,False,0,False,0,True,1,False,False,4,3,F
14,2,7,True,0.142857142857,1,False,0,False,0,True,1,False,False,4,0,F
83,24,3,True,0.0481927710843,0,False,0,False,0,False,0,False,True,6,2,F
61,10,6,True,0.0819672131148,0,False,0,False,0,False,0,False,True,2,0,M
107,22,4,True,0.0280373831776,0,False,0,False,0,False,0,False,True,6,0,F
58,16,3,True,1.0,0,False,0,False,0,False,0,False,True,7,0,F
63,18,3,True,0.031746031746,0,False,0,False,0,False,0,False,True,2,0,F
66,9,7,True,0.0151515151515,4,False,0,False,0,True,4,False,False,7,4,F
24,5,4,True,0.0833333333333,1,False,0,False,0,True,1,False,False,4,1,M
81,21,3,False,0.0246913580247,0,False,0,False,0,False,0,False,True,0,0,F
72,19,3,True,0.0972222222222,2,False,0,False,0,True,2,False,False,11,1,F
23,5,4,True,0.130434782609,1,False,0,False,0,True,1,False,False,3,0,M
32,6,5,True,0.125,1,False,0,False,0,True,1,False,False,4,0,M
